num_jobs,service_time,eps,instance_number,OPT,preemptive,non-preemptive,pre-non-pre
20.0,2000.0,0.001,1.0,209893.13086886067,312.2595741022378,65.36034747067606,478.0654128069291
20.0,2000.0,0.001,2.0,209841.2666130312,167.8251793626987,101.74592088791542,264.1332874559157
20.0,2000.0,0.001,3.0,209874.13160954425,345.4585150576895,109.34936765788008,506.32974983847816
20.0,2000.0,0.001,4.0,209851.70205509718,447.95875490296754,115.05141712911428,1028.1243353106256
20.0,2000.0,0.001,5.0,209954.10705547687,121.13388246999241,83.62716101735714,154.90849990214338
20.0,2000.0,0.01,1.0,208850.63393434952,731.2838981981622,618.5287548631022,825.4324611243793
20.0,2000.0,0.01,2.0,209076.55793128614,601.7266280740732,860.2972413610843,565.0639366400427
20.0,2000.0,0.01,3.0,207364.57894867915,380.86616662252334,170.90202626492828,319.02048449142603
20.0,2000.0,0.01,4.0,209832.08282788773,713.0617866400281,207.6179851894558,1215.5092761065464
20.0,2000.0,0.01,5.0,208827.901459257,909.9420288152178,242.89425617316738,1361.7776836538976
20.0,2000.0,0.02,1.0,206130.53320416415,475.8870727682952,404.7732022794953,538.2072091418959
20.0,2000.0,0.02,2.0,207887.47421510864,1017.7701226794743,278.31214874167927,1228.9756065664403
20.0,2000.0,0.02,3.0,205239.3495570911,873.4118323105795,712.902387813665,931.5805739896314
20.0,2000.0,0.02,4.0,208740.0760920768,363.57003184242063,233.137117308128,386.77998042313277
20.0,2000.0,0.02,5.0,209015.41508889728,226.89628524836726,157.54274728512976,286.62910328261205
20.0,2000.0,0.03,1.0,203739.31369779786,308.9255787169968,665.0772517096192,315.84198614655185
20.0,2000.0,0.03,2.0,205381.10637982734,471.3166257159028,89.99164780002322,583.5206720836286
20.0,2000.0,0.03,3.0,205172.4389676389,304.3082948189985,36.04393272593735,396.75812611277803
20.0,2000.0,0.03,4.0,206424.59855272813,1055.863984602096,533.2194722340208,1030.172702819691
20.0,2000.0,0.03,5.0,203640.57765592585,858.447386359243,596.4954978072202,886.6930050852243
20.0,2000.0,0.04,1.0,204273.56223993632,506.4625889379531,1039.126433302008,579.2374840717239
20.0,2000.0,0.04,2.0,203808.93475491265,554.3543876307085,1362.8097646644744,639.3136615639669
20.0,2000.0,0.04,3.0,207809.08926378813,473.832652829733,979.3069181331084,592.0194687340118
20.0,2000.0,0.04,4.0,205676.8616634444,459.4765743720636,416.4485351701151,529.8203933063778
20.0,2000.0,0.04,5.0,206792.17919268835,192.9214857404295,78.58291645091958,170.78727785148658
20.0,2000.0,0.05,1.0,202332.56397678703,261.68509057039046,118.01653230909142,362.3039227658592
20.0,2000.0,0.05,2.0,203939.56467037371,273.33226379411644,60.27059407386696,395.1757523918351
20.0,2000.0,0.05,3.0,200919.96538442365,394.40795124700526,445.4583792850898,466.38554146920796
20.0,2000.0,0.05,4.0,205983.92010417348,92.62516901883646,70.7513289854396,474.78080252543435
20.0,2000.0,0.05,5.0,202687.78736617626,404.5849562821968,809.0736153109465,368.7126905597688
20.0,2000.0,0.06,1.0,201170.3534022345,261.7362690795853,1236.4469578421852,272.86985025959444
20.0,2000.0,0.06,2.0,203153.35791701693,483.56148534244863,99.95517994932017,791.4730726785492
20.0,2000.0,0.06,3.0,203365.40449495046,228.4363492866687,2247.012695430225,237.05668989033438
20.0,2000.0,0.06,4.0,200175.3231629372,453.1175044595729,887.6322931322502,446.4132449119934
20.0,2000.0,0.06,5.0,206991.5656843926,548.5749082526017,2234.226742841653,551.8720160260273
20.0,2000.0,0.07,1.0,209298.0137421997,444.318064498686,843.0011621057929,396.3386727974285
20.0,2000.0,0.07,2.0,201630.84339085012,382.2279058184649,2414.6504972674593,397.3437784621202
20.0,2000.0,0.07,3.0,201268.98879095668,826.7807892654964,1647.6524513601034,1006.441585712426
20.0,2000.0,0.07,4.0,199980.9813309732,531.5813408588292,2032.0317704080953,475.6425204504049
20.0,2000.0,0.07,5.0,190919.46118749073,481.08217214408796,217.59755239306838,606.8902000437374
20.0,2000.0,0.08,1.0,194026.11331026247,80.55449532406054,718.7758789589279,81.53990231148781
20.0,2000.0,0.08,2.0,206588.21275467143,190.1516226156673,68.79386749488185,262.3713999795436
20.0,2000.0,0.08,3.0,207799.11100081514,299.82754010503413,3656.6609752253275,279.14396858771215
20.0,2000.0,0.08,4.0,199927.96093802946,343.59840474964585,243.05808398805675,343.59840477784746
20.0,2000.0,0.08,5.0,201506.23334888648,643.3086020841729,0.10957560990937054,590.854959520424
20.0,2000.0,0.09,1.0,200692.68303901327,132.20911081248778,35.95127196062822,361.93739890807785
20.0,2000.0,0.09,2.0,193435.6765677492,114.75351301798945,34.548058459331514,110.2420634504233
20.0,2000.0,0.09,3.0,196004.47363414048,30.214085385348877,16.96896699492936,30.214085444138608
20.0,2000.0,0.09,4.0,197085.8344677834,167.53288535380852,54.09700260986574,159.30218324469757
20.0,2000.0,0.09,5.0,198330.65301339023,175.5902583405841,2984.9996039972466,185.90317958695232
20.0,2000.0,0.1,1.0,199612.5412045231,327.24195646491717,2203.7099174188625,420.0579144092626
20.0,2000.0,0.1,2.0,192835.4996067111,414.7144111973466,446.7924672126246,416.5079662779463
20.0,2000.0,0.1,3.0,192162.526946478,289.1856506286422,332.57485161666415,338.56413595500635
20.0,2000.0,0.1,4.0,203166.3564202868,195.7071205760004,3240.2474543321,218.86278235525242
20.0,2000.0,0.1,5.0,194782.2078600034,506.32479791680817,2932.659424357873,435.4819005957106
20.0,2000.0,0.11,1.0,189772.03720599614,269.3402958473016,2642.9373184138385,363.0671103846398
20.0,2000.0,0.11,2.0,201245.66801568808,116.24210470818798,443.4560723257018,254.6042197172356
20.0,2000.0,0.11,3.0,193330.58483655608,128.31501501466843,31.73346131501604,110.72473791040831
20.0,2000.0,0.11,4.0,192474.62704378297,119.58284074047695,1202.9361299245793,111.42736768748728
20.0,2000.0,0.11,5.0,196895.5244328284,99.43547675621812,1613.0770033916342,182.73169031203724
20.0,2000.0,0.12,1.0,204311.53812314192,198.2698376734916,410.7702658397029,300.70203730475623
20.0,2000.0,0.12,2.0,199761.6442451862,283.0230848667852,228.417568850331,215.07570765475973
20.0,2000.0,0.12,3.0,191701.6619345545,170.40883737744298,209.17562302923758,206.3341214144603
20.0,2000.0,0.12,4.0,188918.7011570985,283.56289574530086,308.6852716325084,354.0681260612618
20.0,2000.0,0.12,5.0,197427.12973331736,77.68007963852142,753.0280889942952,77.68007961075638
20.0,2000.0,0.13,1.0,184560.68406888781,210.02542708799592,1596.9384416294051,300.57356326829176
20.0,2000.0,0.13,2.0,193189.8613673544,70.51481947299908,733.6507619008771,83.20638111216249
20.0,2000.0,0.13,3.0,179400.6019685132,353.2616352555633,466.52736972551804,339.7374081645394
20.0,2000.0,0.13,4.0,195020.99133994823,139.96836578458894,3715.117097509821,177.04576619609725
20.0,2000.0,0.13,5.0,174727.6939831732,253.33938406713423,1618.8059313335107,540.3750477260037
20.0,2000.0,0.14,1.0,199710.11667051393,54.0864068036899,804.0532934768414,247.87823273966202
20.0,2000.0,0.14,2.0,208419.4401458345,41.643925737094825,47.794953250006074,77.65308268668015
20.0,2000.0,0.14,3.0,197334.46302425046,699.5504714972342,375.9991864871991,749.8305661536286
20.0,2000.0,0.14,4.0,188823.93267967022,98.91174468546524,1047.9907040588732,117.33891726957519
20.0,2000.0,0.14,5.0,193455.70219362888,112.83830131372088,122.05503518952172,210.49995802325432
20.0,2000.0,0.15,1.0,193218.06936927614,285.22763119547744,372.4685129513382,390.4876399407222
20.0,2000.0,0.15,2.0,190779.77200738207,207.23916197754448,1355.1844690058206,205.55327024083817
20.0,2000.0,0.15,3.0,194720.7069267237,43.63734098157146,836.0013644996508,587.0429126030649
20.0,2000.0,0.15,4.0,190743.76991078077,634.8542868037183,513.3302152288961,555.5440929793695
20.0,2000.0,0.15,5.0,204281.64902195559,150.45993577013726,6701.7462053257605,116.0835555860831
20.0,2000.0,0.16,1.0,195282.8479802349,257.436536366964,3229.850210877077,333.0266022848955
20.0,2000.0,0.16,2.0,198401.82923298364,638.1324944370426,4030.308048187901,465.4825890119246
20.0,2000.0,0.16,3.0,192441.83999319086,239.4737439515593,3671.7876439282563,255.13103814038914
20.0,2000.0,0.16,4.0,193987.69250805696,110.5002822901006,2918.933256844466,129.19938784808622
20.0,2000.0,0.16,5.0,181339.53460082575,149.00827371698688,49.229087270912714,178.55137386376737
20.0,2000.0,0.17,1.0,173597.2661209474,85.1110195531801,1569.6148163502805,105.63535912163206
20.0,2000.0,0.17,2.0,193143.22350785846,115.52515872244841,589.5052797879907,108.98649418141576
20.0,2000.0,0.17,3.0,184027.36919777514,309.5072300263564,1454.943482593575,296.8697251803824
20.0,2000.0,0.17,4.0,198521.76478099736,111.57862686261069,0.0,171.33349218848159
20.0,2000.0,0.17,5.0,194655.26426174046,70.27440701541491,1357.083312621864,70.27440708686481
20.0,2000.0,0.18,1.0,179376.84549512484,272.71838780707907,5302.412288671505,886.7662157397717
20.0,2000.0,0.18,2.0,179451.96396048352,143.02698914989008,280.452078669623,172.46072466985783
20.0,2000.0,0.18,3.0,169516.7569828196,80.76361901158815,9.067263638833538,67.17752008573734
20.0,2000.0,0.18,4.0,186035.81149293762,46.700661196460715,14.132794439647114,38.169200736883795
20.0,2000.0,0.18,5.0,185570.0867128232,105.93451343794004,243.61390653555281,40.37348557639052
20.0,2000.0,0.19,1.0,183306.2719871545,82.20560367387952,2001.75130474678,75.11318304677845
20.0,2000.0,0.19,2.0,216343.57655139922,111.37301741086412,1552.7784869387685,167.54429275493018
20.0,2000.0,0.19,3.0,196223.36870193726,295.5241016621876,2244.200515775068,424.5890565063455
